"S.No","District","Hospital","Type"
  1   ,"Ariyalur           ","COVID care clinic - Slum clearance board               ","Cat. III - Dedicated COVID Center / DCCC"
  2   ,"Chennai            ","SIDDHA CENTRAL RESEARCH INSTITUTE                      ","Cat. III - Dedicated COVID Center / DCCC"
  3   ,"Dharmapuri         ","GOVT ENGINEERING COLLEGE CHETTIKARAI                   ","Cat. III - Dedicated COVID Center / DCCC"
  4   ,"Kallakurichi       ","Model School (A.Kumaramangalam)                        ","Cat. III - Dedicated COVID Center / DCCC"
  5   ,"Kallakurichi       ","Mahabarathi Engineering college                        ","Cat. III - Dedicated COVID Center / DCCC"
  6   ,"Karur              ","RMSA Hostel                                            ","Cat. III - Dedicated COVID Center / DCCC"
  7   ,"Karur              ","Government Polytechnic College                         ","Cat. III - Dedicated COVID Center / DCCC"
  8   ,"Karur              ","Velammal Cbse School                                   ","Cat. III - Dedicated COVID Center / DCCC"
  9   ,"Karur              ","Chettinad Engineering College, Puliyur                 ","Cat. III - Dedicated COVID Center / DCCC"
 10   ,"Karur              ","Subasakthi College                                     ","Cat. III - Dedicated COVID Center / DCCC"
 11   ,"Karur              ","M.Kumarasamy Engineering College, Thalavapalayam       ","Cat. III - Dedicated COVID Center / DCCC"
 12   ,"Karur              ","Jairam Arts And Science College                        ","Cat. III - Dedicated COVID Center / DCCC"
 13   ,"Karur              ","District Institute For Education And Training Hostel   ","Cat. III - Dedicated COVID Center / DCCC"
 14   ,"Karur              ","Government Arts College                                ","Cat. III - Dedicated COVID Center / DCCC"
 15   ,"Karur              ","Surabhi Nursing College                                ","Cat. III - Dedicated COVID Center / DCCC"
 16   ,"Karur              ","MBC Hostel Boys                                        ","Cat. III - Dedicated COVID Center / DCCC"
 17   ,"The Nilgiris       ","Military Pre Primary School                            ","Cat. III - Dedicated COVID Center / DCCC"
 18   ,"The Nilgiris       ","Military KVS School                                    ","Cat. III - Dedicated COVID Center / DCCC"
 19   ,"The Nilgiris       ","Laid Law School Hospital Set Up                        ","Cat. III - Dedicated COVID Center / DCCC"
 20   ,"The Nilgiris       ","Laid Law School                                        ","Cat. III - Dedicated COVID Center / DCCC"
 21   ,"The Nilgiris       ","Good Shepered School                                   ","Cat. III - Dedicated COVID Center / DCCC"
 22   ,"The Nilgiris       ","Lawrence School                                        ","Cat. III - Dedicated COVID Center / DCCC"
 23   ,"The Nilgiris       ","Govrnment BC Girls Hostel                              ","Cat. III - Dedicated COVID Center / DCCC"
 24   ,"The Nilgiris       ","Government BC Boys Hostel                              ","Cat. III - Dedicated COVID Center / DCCC"
 25   ,"Thiruvallur        ","Police Traning School                                  ","Cat. III - Dedicated COVID Center / DCCC"
 26   ,"Thiruvallur        ","GRT Engineering College, Tiruttani                     ","Cat. III - Dedicated COVID Center / DCCC"
 27   ,"Thiruvallur        ","Deenadayalan Building                                  ","Cat. III - Dedicated COVID Center / DCCC"
 28   ,"Tiruchirappalli    ","BHEL Main Hospital, Hpbp, Trichy                       ","Cat. III - Dedicated COVID Center / DCCC"
 29   ,"Vellore            ","BHEL Hospital, BAP Ranipet                             ","Cat. III - Dedicated COVID Center / DCCC"